"","City","Country","XC_ISO_LST","cumavg_2015","peak.NDVI_2015","cumavg_Sum1_2015","max_Sum1_2015","indicator_2015","indicator_new_2015","cum_popweighted_avg_2015","max_popweighted_2015","sum2_2015","cumavg_2016","peak.NDVI_2016","cumavg_Sum1_2016","max_Sum1_2016","indicator_2016","indicator_new_2016","cum_popweighted_avg_2016","max_popweighted_2016","sum2_2016","cumavg_2020","peak.NDVI_2020","cumavg_Sum1_2020","max_Sum1_2020","indicator_2020","indicator_new_2020","cum_popweighted_avg_2020","max_popweighted_2020","sum2_2020","cumavg_2021","peak.NDVI_2021","cumavg_Sum1_2021","max_Sum1_2021","indicator_2021","indicator_new_2021","cum_popweighted_avg_2021","max_popweighted_2021","sum2_2021","cumavg_2022","peak.NDVI_2022","cumavg_Sum1_2022","max_Sum1_2022","indicator_2022","indicator_new_2022","cum_popweighted_avg_2022","max_popweighted_2022","sum2_2022","cumavg_2023","peak.NDVI_2023","cumavg_Sum1_2023","max_Sum1_2023","indicator_new_2023","cum_popweighted_avg_2023","max_popweighted_2023","indicator_2023","sum2_2023","Capital_city","ISO","Major_Geo_Region","Latitude","Longitude"
"1","Aba","Nigeria","NGA",0.314663546362541,0.395923973787985,13232690.5134585,16290159.7600795,"Low",3,0.291796890947971,0.359217799751487,45348977.0589021,0.187996755260693,0.237076170979372,8262780.92700091,9795127.73875772,"Exceptionally Low",1,0.158757181633551,0.188198971663916,52046659.1934932,0.238542444910903,0.280348788371469,11627970.6579777,13820022.8913858,"Very Low",2,0.22341435239385,0.26553141172822,52046659.1934932,0.219266510126884,0.278937239145505,10012802.865904,12376207.5702726,"Very Low",2,0.192381279049622,0.23779062406795,52046659.1934932,0.172759091246087,0.232999727467642,8592459.18034117,10923182.3295239,"Very Low",2,0.165091464341584,0.209872881348925,52046659.1934932,0.244683545572673,0.380355672250675,14083638.6885682,18207281.4112404,3,0.270596401513681,0.349826130886738,"Low",52046659.1934932,0,"NGA","Africa",5.108868585,7.35086201
"2","Abbottabad","Pakistan","PAK",0.374390721124718,0.433512368027589,2621810.02177385,3037426.66064958,"Moderate",4,0.373703741942106,0.432944301659007,7015744.63276319,0.377585343690859,0.443175763123958,2643704.02310358,3104727.53451151,"Low",3,0.328185619277672,0.38541641564169,8055514.525354,0.368792716291734,0.430453000907031,2965622.64979674,3462466.33378989,"Moderate",4,0.368148135102073,0.429825596228781,8055514.525354,0.320043298157043,0.376396543210484,2572728.70378822,3028241.35291086,"Low",3,0.319374845106515,0.375921530943771,8055514.525354,0.319446363651137,0.385198242290944,2568830.63893631,3097176.23590933,"Low",3,0.318890944936062,0.384479008281997,8055514.525354,0.346342104768916,0.432189956527203,2737095.13712157,3475792.00265389,4,0.339779057998942,0.431479825616868,"Moderate",8055514.525354,0,"PAK","Asia",34.19086747,73.23266806
"3","Abeokuta","Nigeria","NGA",0.284261805302627,0.321656804603187,6278859.58097992,9316960.6854811,"Very Low",2,0.184379851499461,0.273594241989278,34053935.5570437,0.287667186108359,0.374638038284678,9104434.25689459,11743566.4741425,"Very Low",2,0.228234437840774,0.294393502862845,39890712.1248995,0.274827981541374,0.370795774018048,7515192.9092062,13728768.3177881,"Low",3,0.188394553741628,0.344159519509273,39890712.1248995,0.303764581162515,0.364031669709767,11111588.0727777,13335818.8028909,"Low",3,0.278550757328845,0.334308867716774,39890712.1248995,0.224179817187047,0.347978973394652,8116784.86601941,12648901.6787951,"Low",3,0.203475556931784,0.317088891248439,39890712.1248995,0.292408658842386,0.37542841504198,10365786.7522119,13871279.2192953,3,0.259854642849096,0.347732052911558,"Low",39890712.1248995,0,"NGA","Africa",7.162590478,3.344045183
"4","Abidjan","Côte d'Ivoire","CIV",0.202205707136358,0.237470341751805,68878774.0994041,81363386.2026508,"Very Low",2,0.169916531052474,0.200714726982296,405368292.730346,0.187745081869865,0.216989698567854,63849321.6677788,77238322.7645124,"Exceptionally Low",1,0.138699959143969,0.167784902516714,460341315.612817,0.178509821721024,0.227371313039767,71403672.3254416,91152361.6567074,"Exceptionally Low",1,0.155110284268939,0.19801038613135,460341315.612817,0.17220664700185,0.203664382969366,68098757.3003609,78277874.9791932,"Exceptionally Low",1,0.147931013338888,0.170043123057482,460341315.612817,0.181354243047043,0.194428800833249,72652737.8005741,76876060.875687,"Exceptionally Low",1,0.157823630720299,0.166997960574857,460341315.612817,0.185421006489904,0.211839847994139,69493236.3185848,85549837.1051015,1,0.150960241806829,0.185840015231341,"Exceptionally Low",460341315.612817,0,"CIV","Africa",5.349563262,-4.002695996
"5","Abu Dhabi","United Arab Emirates","ARE",0.0945478896102316,0.100465515314268,65243.2094779397,69411.7338954558,"Exceptionally Low",1,0.0957376279763614,0.101854504247285,681479.276821532,0.0911536752282885,0.101114689175546,62877.8044116126,69697.7560399047,"Exceptionally Low",1,0.0757306134084238,0.0839446266847995,830282.518279701,0.0977163285341628,0.100514681024242,82322.7651794646,84732.1237646339,"Exceptionally Low",1,0.0991503053081652,0.102052159233937,830282.518279701,0.0942188617399446,0.0989361437015502,79323.3028460609,83181.8563392613,"Exceptionally Low",1,0.0955377249305626,0.100185002704392,830282.518279701,0.0957329988557633,0.0990782811004405,80495.0455417513,83332.4824854518,"Exceptionally Low",1,0.0969489827493087,0.10036641823811,830282.518279701,0.0938653153119398,0.099467599463706,77884.9707578329,83980.2237077784,1,0.0938053843638745,0.101146563800694,"Exceptionally Low",830282.518279701,1,"ARE","Asia",24.42015132,54.43606686
"6","Abuja","Nigeria","NGA",0.21746340580695,0.348363486989091,7392275.77494444,11863070.9537582,"Low",3,0.216781069078282,0.347888699258726,34100190.6041667,0.261691241494643,0.365975087014425,8811457.30173116,12467084.8954813,"Very Low",2,0.165828329571214,0.234625873115676,53136019.1863184,0.2558338654083,0.318851852895258,13510982.1795924,16838427.7377115,"Low",3,0.254271629423667,0.316892909848375,53136019.1863184,0.22946788975464,0.325238350538791,12169671.9374497,17251190.8836696,"Low",3,0.229028672523951,0.324660957818072,53136019.1863184,0.246508743882056,0.311710292081058,13037999.4356911,16523486.5108218,"Low",3,0.245370271152119,0.310965833795021,53136019.1863184,0.263296572562227,0.325238350538791,13879753.1070581,17066796.328256,3,0.261211760301228,0.321190721277261,"Low",53136019.1863184,1,"NGA","Africa",9.061898911,7.433495189
"7","Acapulco","Mexico","MEX",0.373147177686467,0.455155578881626,26116889.0931066,31820963.7275822,"Moderate",4,0.336360536565532,0.409823558819912,77645520.9632427,0.376731206334051,0.42907823844638,26410123.7172674,29686276.9179804,"Low",3,0.309048895705006,0.347386146210909,85456133.5901891,0.373782307777287,0.415604900895576,28432326.3005865,31711463.6882832,"Low",3,0.332712528710177,0.371084699904138,85456133.5901891,0.356670056803726,0.434440643068942,26579036.2686664,33231862.5025685,"Low",3,0.311025495210537,0.388876270273755,85456133.5901891,0.362873647585275,0.426867724177752,27813145.7955664,32184225.7340637,"Low",3,0.325466934052344,0.376616918902573,85456133.5901891,0.357702665115242,0.434440643068942,25211908.5241855,27735947.4407098,3,0.295027489133676,0.32456356583741,"Low",85456133.5901891,0,"MEX","Latin America and the Caribbean",16.86769935,-99.86174779
"8","Accra","Ghana","GHA",0.209783441906273,0.281178827458953,70210005.0122786,93096022.8944582,"Very Low",2,0.193294561772638,0.256301861038363,363228041.018882,0.221106721019447,0.254138698746209,71131606.3759499,83055865.8047659,"Exceptionally Low",1,0.16456106458032,0.192147519124404,432250523.885203,0.229231969599729,0.27424656355181,91170425.9242758,110373169.351215,"Very Low",2,0.210920336440098,0.2553453686051,432250523.885203,0.225534296871337,0.261382707612314,87676562.0363007,103764604.800088,"Very Low",2,0.202837375992599,0.240056631666791,432250523.885203,0.213154947617429,0.250320546673974,83972631.0961372,97995928.1573516,"Very Low",2,0.194268431050968,0.226710952890313,432250523.885203,0.226978580735508,0.272518236694533,87869594.0683565,109183208.881329,2,0.203283950424298,0.252592426956377,"Very Low",432250523.885203,1,"GHA","Africa",5.621085071,-0.215586875
"9","Ad Da'ein","Sudan","SDN",0.217458858408932,0.259136479055576,34116.4937706041,40601.9827587342,"Very Low",2,0.217768158187677,0.259165524557971,156664.289465137,0.203158872806312,0.23209317550475,31875.9280797458,36418.7602048506,"Exceptionally Low",1,0.164224880284463,0.187629565476101,194099.262088252,0.207246375702071,0.242010139958974,40244.8860878237,47001.7534885064,"Very Low",2,0.207341777886437,0.242153179681517,194099.262088252,0.231306487186512,0.292866477968145,44965.2972753776,57037.7920982732,"Very Low",2,0.231661350958321,0.293858881711459,194099.262088252,0.238667589586072,0.324648288929518,46387.683912533,63129.4876765332,"Low",3,0.238989491322443,0.325243316215338,194099.262088252,0.234576983023969,0.292984454165614,44780.2952234505,56828.9658108985,2,0.230708219813273,0.292783008031529,"Very Low",194099.262088252,0,"SDN","Africa",11.46282258,26.13432264
"10","Ad Diwaniyah","Iraq","IRQ",0.123513560966243,0.131825077367685,163335.34642113,174553.267479111,"Exceptionally Low",1,0.123707530280004,0.132203800924209,1320334.71245793,0.137601817735723,0.143369253285935,181809.633716597,189615.50715105,"Exceptionally Low",1,0.118861012135818,0.123964229154941,1529598.56600288,0.124003487507796,0.133780130799649,189182.719550421,204317.417525299,"Exceptionally Low",1,0.123681287205172,0.133575842751487,1529598.56600288,0.122786101752149,0.134318801846874,187225.520541894,204700.252534864,"Exceptionally Low",1,0.122401736444582,0.133826127380456,1529598.56600288,0.122664281991185,0.126344662956717,187130.966901994,192901.184805688,"Exceptionally Low",1,0.122339920460962,0.126112294488988,1529598.56600288,0.127433278760507,0.131343501437211,194345.998866401,199988.492130003,1,0.127056865236389,0.130745737198623,"Exceptionally Low",1529598.56600288,0,"IRQ","Asia",31.99086633,44.92013364
