"","Peak NDVI","Four-season NDVI","Pop weighted Peak NDVI","Pop weighted Four-season NDVI","year"
"High",0.34,0.27,0.31,0.25,"2015"
"Low",0.32,0.26,0.31,0.25,"2015"
"Medium",0.38,0.31,0.37,0.31,"2015"
"N/A",0.26,0.21,0.25,0.2,"2015"
"Very High",0.36,0.29,0.36,0.28,"2015"
"Global Mean",0.35,0.29,0.34,0.27,"2015"
"High1",0.35,0.27,0.3,0.24,"2016"
"Low1",0.31,0.26,0.25,0.21,"2016"
"Medium1",0.37,0.3,0.33,0.27,"2016"
"N/A1",0.27,0.2,0.25,0.19,"2016"
"Very High1",0.37,0.29,0.35,0.27,"2016"
"Global Mean1",0.36,0.28,0.31,0.25,"2016"
"High2",0.34,0.28,0.32,0.25,"2020"
"Low2",0.31,0.26,0.3,0.24,"2020"
"Medium2",0.38,0.32,0.37,0.31,"2020"
"N/A2",0.26,0.2,0.25,0.19,"2020"
"Very High2",0.36,0.29,0.36,0.28,"2020"
"Global Mean2",0.35,0.29,0.34,0.27,"2020"
"High3",0.34,0.27,0.31,0.25,"2021"
"Low3",0.31,0.25,0.29,0.24,"2021"
"Medium3",0.38,0.31,0.37,0.3,"2021"
"N/A3",0.28,0.21,0.27,0.2,"2021"
"Very High3",0.36,0.28,0.35,0.27,"2021"
"Global Mean3",0.35,0.28,0.34,0.27,"2021"
"High4",0.34,0.28,0.32,0.26,"2022"
"Low4",0.3,0.25,0.29,0.24,"2022"
"Medium4",0.37,0.31,0.37,0.3,"2022"
"N/A4",0.27,0.2,0.26,0.19,"2022"
"Very High4",0.36,0.28,0.35,0.27,"2022"
"Global Mean4",0.35,0.28,0.34,0.27,"2022"
"High5",0.34,0.28,0.32,0.26,"2023"
"Low5",0.31,0.26,0.3,0.25,"2023"
"Medium5",0.38,0.31,0.37,0.31,"2023"
"N/A5",0.27,0.21,0.25,0.2,"2023"
"Very High5",0.36,0.28,0.35,0.28,"2023"
"Global Mean5",0.35,0.29,0.34,0.28,"2023"
