"","Peak NDVI","Four-season NDVI","Pop weighted Peak NDVI","Pop weighted Four-season NDVI","year"
"Africa",0.33,0.27,0.31,0.25,"2015"
"Asia",0.35,0.28,0.34,0.27,"2015"
"Europe",0.41,0.3,0.4,0.29,"2015"
"Northern America",0.4,0.32,0.39,0.32,"2015"
"Oceania",0.34,0.31,0.35,0.31,"2015"
"SIDS",0.38,0.34,0.38,0.33,"2015"
"South and Central America",0.34,0.3,0.31,0.27,"2015"
"Global Mean",0.35,0.29,0.34,0.27,"2015"
"Africa1",0.32,0.26,0.25,0.21,"2016"
"Asia1",0.35,0.27,0.31,0.24,"2016"
"Europe1",0.41,0.31,0.4,0.29,"2016"
"Northern America1",0.4,0.33,0.38,0.31,"2016"
"Oceania1",0.35,0.32,0.35,0.32,"2016"
"SIDS1",0.39,0.35,0.36,0.32,"2016"
"South and Central America1",0.34,0.3,0.28,0.24,"2016"
"Global Mean1",0.36,0.28,0.32,0.25,"2016"
"Africa2",0.32,0.26,0.3,0.24,"2020"
"Asia2",0.35,0.29,0.34,0.28,"2020"
"Europe2",0.41,0.31,0.4,0.29,"2020"
"Northern America2",0.4,0.31,0.4,0.31,"2020"
"Oceania2",0.33,0.3,0.33,0.3,"2020"
"SIDS2",0.39,0.34,0.38,0.33,"2020"
"South and Central America2",0.33,0.29,0.3,0.26,"2020"
"Global Mean2",0.36,0.29,0.34,0.28,"2020"
"Africa3",0.31,0.26,0.3,0.24,"2021"
"Asia3",0.35,0.28,0.34,0.27,"2021"
"Europe3",0.41,0.3,0.4,0.29,"2021"
"Northern America3",0.38,0.31,0.38,0.3,"2021"
"Oceania3",0.35,0.32,0.35,0.32,"2021"
"SIDS3",0.38,0.35,0.38,0.34,"2021"
"South and Central America3",0.33,0.29,0.3,0.26,"2021"
"Global Mean3",0.35,0.28,0.34,0.27,"2021"
"Africa4",0.31,0.26,0.29,0.24,"2022"
"Asia4",0.35,0.28,0.34,0.27,"2022"
"Europe4",0.4,0.3,0.39,0.29,"2022"
"Northern America4",0.39,0.31,0.39,0.31,"2022"
"Oceania4",0.34,0.31,0.34,0.31,"2022"
"SIDS4",0.39,0.35,0.38,0.34,"2022"
"South and Central America4",0.33,0.29,0.3,0.26,"2022"
"Global Mean4",0.35,0.28,0.34,0.27,"2022"
"Africa5",0.32,0.27,0.3,0.25,"2023"
"Asia5",0.35,0.28,0.34,0.27,"2023"
"Europe5",0.41,0.31,0.4,0.3,"2023"
"Northern America5",0.39,0.31,0.38,0.31,"2023"
"Oceania5",0.35,0.33,0.35,0.33,"2023"
"SIDS5",0.39,0.34,0.38,0.34,"2023"
"South and Central America5",0.33,0.29,0.3,0.26,"2023"
"Global Mean5",0.35,0.29,0.34,0.28,"2023"
