"","Peak NDVI","Four-season NDVI","Pop weighted Peak NDVI","Pop weighted Four-season NDVI","year"
"Exceptionally Low",0.16,0.14,0.15,0.13,"2015"
"High",0.53,0.43,0.53,0.43,"2015"
"Low",0.36,0.3,0.35,0.28,"2015"
"Moderate",0.44,0.35,0.44,0.35,"2015"
"Very High",0.63,0.54,0.62,0.53,"2015"
"Very Low",0.28,0.23,0.26,0.21,"2015"
"Global Mean",0.35,0.29,0.34,0.27,"2015"
"Exceptionally Low1",0.19,0.16,0.15,0.13,"2016"
"High1",0.55,0.46,0.53,0.44,"2016"
"Low1",0.39,0.31,0.35,0.28,"2016"
"Moderate1",0.47,0.36,0.44,0.34,"2016"
"Very Low1",0.31,0.25,0.26,0.2,"2016"
"Global Mean1",0.36,0.28,0.31,0.25,"2016"
"Exceptionally Low2",0.16,0.14,0.15,0.13,"2020"
"High2",0.53,0.43,0.53,0.44,"2020"
"Low2",0.36,0.3,0.35,0.28,"2020"
"Moderate2",0.45,0.36,0.44,0.35,"2020"
"Very High1",0.61,0.53,0.6,0.53,"2020"
"Very Low2",0.28,0.23,0.26,0.21,"2020"
"Global Mean2",0.35,0.29,0.34,0.27,"2020"
"Exceptionally Low3",0.16,0.14,0.15,0.13,"2021"
"High3",0.53,0.42,0.53,0.41,"2021"
"Low3",0.36,0.29,0.35,0.28,"2021"
"Moderate3",0.45,0.35,0.44,0.35,"2021"
"Very High2",0.66,0.63,0.64,0.61,"2021"
"Very Low3",0.28,0.23,0.26,0.21,"2021"
"Global Mean3",0.35,0.28,0.34,0.27,"2021"
"Exceptionally Low4",0.16,0.14,0.15,0.13,"2022"
"High4",0.53,0.42,0.53,0.42,"2022"
"Low4",0.36,0.29,0.35,0.28,"2022"
"Moderate4",0.44,0.35,0.44,0.34,"2022"
"Very High3",0.62,0.53,0.62,0.52,"2022"
"Very Low4",0.28,0.23,0.26,0.21,"2022"
"Global Mean4",0.35,0.28,0.34,0.27,"2022"
"Exceptionally Low5",0.16,0.14,0.15,0.13,"2023"
"High5",0.52,0.43,0.53,0.43,"2023"
"Low5",0.37,0.3,0.35,0.28,"2023"
"Moderate5",0.44,0.35,0.44,0.35,"2023"
"Very High4",0.58,0.5,0.62,0.51,"2023"
"Very Low5",0.29,0.24,0.26,0.22,"2023"
"Global Mean5",0.35,0.29,0.34,0.28,"2023"
