"","Peak NDVI","Four-season NDVI","Pop weighted Peak NDVI","Pop weighted Four-season NDVI","year"
"Africa",0.35,0.28,0.33,0.26,"2015"
"Americas",0.36,0.31,0.34,0.29,"2015"
"Eastern Mediterranean",0.23,0.2,0.22,0.19,"2015"
"Europe",0.38,0.29,0.37,0.28,"2015"
"South-East Asia",0.41,0.34,0.41,0.34,"2015"
"Western Pacific",0.33,0.25,0.3,0.23,"2015"
"Global Mean",0.35,0.29,0.34,0.27,"2015"
"Africa1",0.34,0.28,0.27,0.22,"2016"
"Americas1",0.37,0.31,0.32,0.27,"2016"
"Eastern Mediterranean1",0.23,0.19,0.19,0.16,"2016"
"Europe1",0.39,0.29,0.37,0.27,"2016"
"South-East Asia1",0.41,0.33,0.37,0.3,"2016"
"Western Pacific1",0.34,0.25,0.3,0.22,"2016"
"Global Mean1",0.36,0.28,0.32,0.25,"2016"
"Africa2",0.34,0.27,0.32,0.26,"2020"
"Americas2",0.36,0.3,0.34,0.29,"2020"
"Eastern Mediterranean2",0.23,0.2,0.22,0.19,"2020"
"Europe2",0.38,0.29,0.37,0.28,"2020"
"South-East Asia2",0.41,0.35,0.4,0.34,"2020"
"Western Pacific2",0.34,0.26,0.32,0.24,"2020"
"Global Mean2",0.36,0.29,0.34,0.28,"2020"
"Africa3",0.33,0.27,0.32,0.25,"2021"
"Americas3",0.36,0.3,0.33,0.28,"2021"
"Eastern Mediterranean3",0.22,0.19,0.21,0.18,"2021"
"Europe3",0.38,0.28,0.37,0.27,"2021"
"South-East Asia3",0.41,0.34,0.41,0.33,"2021"
"Western Pacific3",0.33,0.26,0.31,0.24,"2021"
"Global Mean3",0.35,0.28,0.34,0.27,"2021"
"Africa4",0.33,0.27,0.31,0.26,"2022"
"Americas4",0.36,0.3,0.34,0.28,"2022"
"Eastern Mediterranean4",0.22,0.19,0.2,0.17,"2022"
"Europe4",0.38,0.28,0.37,0.28,"2022"
"South-East Asia4",0.41,0.34,0.4,0.33,"2022"
"Western Pacific4",0.34,0.26,0.32,0.25,"2022"
"Global Mean4",0.35,0.28,0.34,0.27,"2022"
"Africa5",0.34,0.28,0.33,0.27,"2023"
"Americas5",0.36,0.3,0.33,0.28,"2023"
"Eastern Mediterranean5",0.22,0.19,0.21,0.18,"2023"
"Europe5",0.38,0.29,0.37,0.28,"2023"
"South-East Asia5",0.41,0.34,0.4,0.34,"2023"
"Western Pacific5",0.34,0.27,0.32,0.25,"2023"
"Global Mean5",0.35,0.29,0.34,0.28,"2023"
