,Latitude,Longitude,City,Country,Major_Geo_Region,ISO3,LCD_grouping,WHO_region,HDI_level,Koppen_climate_region,Peak_NDVI_2015,PopWeight_Peak_NDVI_2015,Greenness_Level_2015,Peak_NDVI_2020,PopWeight_Peak_NDVI_2020,Greenness_Level_2020,Peak_NDVI_2021,PopWeight_Peak_NDVI_2021,Greenness_Level_2021,Peak_NDVI_2022,PopWeight_Peak_NDVI_2022,Greenness_Level_2022,Peak_NDVI_2023,PopWeight_Peak_NDVI_2023,Greenness_Level_2023
1,5.108868585,7.35086201,Aba,Nigeria,Africa,NGA,Africa,Africa,Low,Tropical,0.395923974,0.3592178,Low,0.280348788,0.265531412,Very Low,0.278937239,0.237790624,Very Low,0.232999727,0.209872881,Very Low,0.380355672,0.349826131,Low
2,34.19086747,73.23266806,Abbottabad,Pakistan,Asia,PAK,Asia,Eastern Mediterranean,Low,Temperate,0.433512368,0.432944302,Moderate,0.430453001,0.429825596,Moderate,0.376396543,0.375921531,Low,0.385198242,0.384479008,Low,0.432189957,0.431479826,Moderate
3,7.162590478,3.344045183,Abeokuta,Nigeria,Africa,NGA,Africa,Africa,Low,Tropical,0.321656805,0.273594242,Very Low,0.370795774,0.34415952,Low,0.36403167,0.334308868,Low,0.347978973,0.317088891,Low,0.375428415,0.347732053,Low
4,5.349563262,-4.002695996,Abidjan,Côte d'Ivoire,Africa,NA,NA,NA,NA,Tropical,0.237470342,0.200714727,Very Low,0.227371313,0.198010386,Exceptionally Low,0.203664383,0.170043123,Exceptionally Low,0.194428801,0.166997961,Exceptionally Low,0.211839848,0.185840015,Exceptionally Low
5,24.42015132,54.43606686,Abu Dhabi,United Arab Emirates,Asia,ARE,Asia,Eastern Mediterranean,Very High,Arid,0.100465515,0.101854504,Exceptionally Low,0.100514681,0.102052159,Exceptionally Low,0.098936144,0.100185003,Exceptionally Low,0.099078281,0.100366418,Exceptionally Low,0.099467599,0.101146564,Exceptionally Low
6,9.061898911,7.433495189,Abuja,Nigeria,Africa,NGA,Africa,Africa,Low,Tropical,0.348363487,0.347888699,Low,0.318851853,0.31689291,Low,0.325238351,0.324660958,Low,0.311710292,0.310965834,Low,0.325238351,0.321190721,Low
7,16.86769935,-99.86174779,Acapulco,Mexico,Latin America and the Caribbean,MEX,South and Central America,Americas,High,Tropical,0.455155579,0.409823559,Moderate,0.415604901,0.3710847,Low,0.434440643,0.38887627,Low,0.426867724,0.376616919,Low,0.434440643,0.324563566,Low
8,5.621085071,-0.215586875,Accra,Ghana,Africa,GHA,Africa,Africa,Medium,Tropical,0.281178827,0.256301861,Very Low,0.274246564,0.255345369,Very Low,0.261382708,0.240056632,Very Low,0.250320547,0.226710953,Very Low,0.272518237,0.252592427,Very Low
9,11.46282258,26.13432264,Ad Da'ein,Sudan,Africa,SDN,Africa,Eastern Mediterranean,Low,Arid,0.259136479,0.259165525,Very Low,0.24201014,0.24215318,Very Low,0.292866478,0.293858882,Very Low,0.324648289,0.325243316,Low,0.292984454,0.292783008,Very Low
10,31.99086633,44.92013364,Ad Diwaniyah,Iraq,Asia,IRQ,Asia,Eastern Mediterranean,Medium,Arid,0.131825077,0.132203801,Exceptionally Low,0.133780131,0.133575843,Exceptionally Low,0.134318802,0.133826127,Exceptionally Low,0.126344663,0.126112294,Exceptionally Low,0.131343501,0.130745737,Exceptionally Low
